id,title,content,label
1,FAKE News Headline 1,This is the body of a fake news article number 1. It contains information that is not verified.,FAKE
2,FAKE News Headline 2,This is the body of a fake news article number 2. It contains information that is not verified.,FAKE
3,FAKE News Headline 3,This is the body of a fake news article number 3. It contains information that is not verified.,FAKE
4,FAKE News Headline 4,This is the body of a fake news article number 4. It contains information that is not verified.,FAKE
5,FAKE News Headline 5,This is the body of a fake news article number 5. It contains information that is not verified.,FAKE
6,FAKE News Headline 6,This is the body of a fake news article number 6. It contains information that is not verified.,FAKE
7,FAKE News Headline 7,This is the body of a fake news article number 7. It contains information that is not verified.,FAKE
8,FAKE News Headline 8,This is the body of a fake news article number 8. It contains information that is not verified.,FAKE
9,FAKE News Headline 9,This is the body of a fake news article number 9. It contains information that is not verified.,FAKE
10,FAKE News Headline 10,This is the body of a fake news article number 10. It contains information that is not verified.,FAKE
11,FAKE News Headline 11,This is the body of a fake news article number 11. It contains information that is not verified.,FAKE
12,FAKE News Headline 12,This is the body of a fake news article number 12. It contains information that is not verified.,FAKE
13,FAKE News Headline 13,This is the body of a fake news article number 13. It contains information that is not verified.,FAKE
14,FAKE News Headline 14,This is the body of a fake news article number 14. It contains information that is not verified.,FAKE
15,FAKE News Headline 15,This is the body of a fake news article number 15. It contains information that is not verified.,FAKE
16,FAKE News Headline 16,This is the body of a fake news article number 16. It contains information that is not verified.,FAKE
17,FAKE News Headline 17,This is the body of a fake news article number 17. It contains information that is not verified.,FAKE
18,FAKE News Headline 18,This is the body of a fake news article number 18. It contains information that is not verified.,FAKE
19,FAKE News Headline 19,This is the body of a fake news article number 19. It contains information that is not verified.,FAKE
20,FAKE News Headline 20,This is the body of a fake news article number 20. It contains information that is not verified.,FAKE
21,FAKE News Headline 21,This is the body of a fake news article number 21. It contains information that is not verified.,FAKE
22,FAKE News Headline 22,This is the body of a fake news article number 22. It contains information that is not verified.,FAKE
23,FAKE News Headline 23,This is the body of a fake news article number 23. It contains information that is not verified.,FAKE
24,FAKE News Headline 24,This is the body of a fake news article number 24. It contains information that is not verified.,FAKE
25,FAKE News Headline 25,This is the body of a fake news article number 25. It contains information that is not verified.,FAKE
26,FAKE News Headline 26,This is the body of a fake news article number 26. It contains information that is not verified.,FAKE
27,FAKE News Headline 27,This is the body of a fake news article number 27. It contains information that is not verified.,FAKE
28,FAKE News Headline 28,This is the body of a fake news article number 28. It contains information that is not verified.,FAKE
29,FAKE News Headline 29,This is the body of a fake news article number 29. It contains information that is not verified.,FAKE
30,FAKE News Headline 30,This is the body of a fake news article number 30. It contains information that is not verified.,FAKE
31,FAKE News Headline 31,This is the body of a fake news article number 31. It contains information that is not verified.,FAKE
32,FAKE News Headline 32,This is the body of a fake news article number 32. It contains information that is not verified.,FAKE
33,FAKE News Headline 33,This is the body of a fake news article number 33. It contains information that is not verified.,FAKE
34,FAKE News Headline 34,This is the body of a fake news article number 34. It contains information that is not verified.,FAKE
35,FAKE News Headline 35,This is the body of a fake news article number 35. It contains information that is not verified.,FAKE
36,FAKE News Headline 36,This is the body of a fake news article number 36. It contains information that is not verified.,FAKE
37,FAKE News Headline 37,This is the body of a fake news article number 37. It contains information that is not verified.,FAKE
38,FAKE News Headline 38,This is the body of a fake news article number 38. It contains information that is not verified.,FAKE
39,FAKE News Headline 39,This is the body of a fake news article number 39. It contains information that is not verified.,FAKE
40,FAKE News Headline 40,This is the body of a fake news article number 40. It contains information that is not verified.,FAKE
41,FAKE News Headline 41,This is the body of a fake news article number 41. It contains information that is not verified.,FAKE
42,FAKE News Headline 42,This is the body of a fake news article number 42. It contains information that is not verified.,FAKE
43,FAKE News Headline 43,This is the body of a fake news article number 43. It contains information that is not verified.,FAKE
44,FAKE News Headline 44,This is the body of a fake news article number 44. It contains information that is not verified.,FAKE
45,FAKE News Headline 45,This is the body of a fake news article number 45. It contains information that is not verified.,FAKE
46,FAKE News Headline 46,This is the body of a fake news article number 46. It contains information that is not verified.,FAKE
47,FAKE News Headline 47,This is the body of a fake news article number 47. It contains information that is not verified.,FAKE
48,FAKE News Headline 48,This is the body of a fake news article number 48. It contains information that is not verified.,FAKE
49,FAKE News Headline 49,This is the body of a fake news article number 49. It contains information that is not verified.,FAKE
50,FAKE News Headline 50,This is the body of a fake news article number 50. It contains information that is not verified.,FAKE
51,FAKE News Headline 51,This is the body of a fake news article number 51. It contains information that is not verified.,FAKE
52,FAKE News Headline 52,This is the body of a fake news article number 52. It contains information that is not verified.,FAKE
53,FAKE News Headline 53,This is the body of a fake news article number 53. It contains information that is not verified.,FAKE
54,FAKE News Headline 54,This is the body of a fake news article number 54. It contains information that is not verified.,FAKE
55,FAKE News Headline 55,This is the body of a fake news article number 55. It contains information that is not verified.,FAKE
56,FAKE News Headline 56,This is the body of a fake news article number 56. It contains information that is not verified.,FAKE
57,FAKE News Headline 57,This is the body of a fake news article number 57. It contains information that is not verified.,FAKE
58,FAKE News Headline 58,This is the body of a fake news article number 58. It contains information that is not verified.,FAKE
59,FAKE News Headline 59,This is the body of a fake news article number 59. It contains information that is not verified.,FAKE
60,FAKE News Headline 60,This is the body of a fake news article number 60. It contains information that is not verified.,FAKE
61,FAKE News Headline 61,This is the body of a fake news article number 61. It contains information that is not verified.,FAKE
62,FAKE News Headline 62,This is the body of a fake news article number 62. It contains information that is not verified.,FAKE
63,FAKE News Headline 63,This is the body of a fake news article number 63. It contains information that is not verified.,FAKE
64,FAKE News Headline 64,This is the body of a fake news article number 64. It contains information that is not verified.,FAKE
65,FAKE News Headline 65,This is the body of a fake news article number 65. It contains information that is not verified.,FAKE
66,FAKE News Headline 66,This is the body of a fake news article number 66. It contains information that is not verified.,FAKE
67,FAKE News Headline 67,This is the body of a fake news article number 67. It contains information that is not verified.,FAKE
68,FAKE News Headline 68,This is the body of a fake news article number 68. It contains information that is not verified.,FAKE
69,FAKE News Headline 69,This is the body of a fake news article number 69. It contains information that is not verified.,FAKE
70,FAKE News Headline 70,This is the body of a fake news article number 70. It contains information that is not verified.,FAKE
71,FAKE News Headline 71,This is the body of a fake news article number 71. It contains information that is not verified.,FAKE
72,FAKE News Headline 72,This is the body of a fake news article number 72. It contains information that is not verified.,FAKE
73,FAKE News Headline 73,This is the body of a fake news article number 73. It contains information that is not verified.,FAKE
74,FAKE News Headline 74,This is the body of a fake news article number 74. It contains information that is not verified.,FAKE
75,FAKE News Headline 75,This is the body of a fake news article number 75. It contains information that is not verified.,FAKE
76,FAKE News Headline 76,This is the body of a fake news article number 76. It contains information that is not verified.,FAKE
77,FAKE News Headline 77,This is the body of a fake news article number 77. It contains information that is not verified.,FAKE
78,FAKE News Headline 78,This is the body of a fake news article number 78. It contains information that is not verified.,FAKE
79,FAKE News Headline 79,This is the body of a fake news article number 79. It contains information that is not verified.,FAKE
80,FAKE News Headline 80,This is the body of a fake news article number 80. It contains information that is not verified.,FAKE
81,FAKE News Headline 81,This is the body of a fake news article number 81. It contains information that is not verified.,FAKE
82,FAKE News Headline 82,This is the body of a fake news article number 82. It contains information that is not verified.,FAKE
83,FAKE News Headline 83,This is the body of a fake news article number 83. It contains information that is not verified.,FAKE
84,FAKE News Headline 84,This is the body of a fake news article number 84. It contains information that is not verified.,FAKE
85,FAKE News Headline 85,This is the body of a fake news article number 85. It contains information that is not verified.,FAKE
86,FAKE News Headline 86,This is the body of a fake news article number 86. It contains information that is not verified.,FAKE
87,FAKE News Headline 87,This is the body of a fake news article number 87. It contains information that is not verified.,FAKE
88,FAKE News Headline 88,This is the body of a fake news article number 88. It contains information that is not verified.,FAKE
89,FAKE News Headline 89,This is the body of a fake news article number 89. It contains information that is not verified.,FAKE
90,FAKE News Headline 90,This is the body of a fake news article number 90. It contains information that is not verified.,FAKE
91,FAKE News Headline 91,This is the body of a fake news article number 91. It contains information that is not verified.,FAKE
92,FAKE News Headline 92,This is the body of a fake news article number 92. It contains information that is not verified.,FAKE
93,FAKE News Headline 93,This is the body of a fake news article number 93. It contains information that is not verified.,FAKE
94,FAKE News Headline 94,This is the body of a fake news article number 94. It contains information that is not verified.,FAKE
95,FAKE News Headline 95,This is the body of a fake news article number 95. It contains information that is not verified.,FAKE
96,FAKE News Headline 96,This is the body of a fake news article number 96. It contains information that is not verified.,FAKE
97,FAKE News Headline 97,This is the body of a fake news article number 97. It contains information that is not verified.,FAKE
98,FAKE News Headline 98,This is the body of a fake news article number 98. It contains information that is not verified.,FAKE
99,FAKE News Headline 99,This is the body of a fake news article number 99. It contains information that is not verified.,FAKE
100,FAKE News Headline 100,This is the body of a fake news article number 100. It contains information that is not verified.,FAKE
101,FAKE News Headline 101,This is the body of a fake news article number 101. It contains information that is not verified.,FAKE
102,FAKE News Headline 102,This is the body of a fake news article number 102. It contains information that is not verified.,FAKE
103,FAKE News Headline 103,This is the body of a fake news article number 103. It contains information that is not verified.,FAKE
104,FAKE News Headline 104,This is the body of a fake news article number 104. It contains information that is not verified.,FAKE
105,FAKE News Headline 105,This is the body of a fake news article number 105. It contains information that is not verified.,FAKE
106,FAKE News Headline 106,This is the body of a fake news article number 106. It contains information that is not verified.,FAKE
107,FAKE News Headline 107,This is the body of a fake news article number 107. It contains information that is not verified.,FAKE
108,FAKE News Headline 108,This is the body of a fake news article number 108. It contains information that is not verified.,FAKE
109,FAKE News Headline 109,This is the body of a fake news article number 109. It contains information that is not verified.,FAKE
110,FAKE News Headline 110,This is the body of a fake news article number 110. It contains information that is not verified.,FAKE
111,FAKE News Headline 111,This is the body of a fake news article number 111. It contains information that is not verified.,FAKE
112,FAKE News Headline 112,This is the body of a fake news article number 112. It contains information that is not verified.,FAKE
113,FAKE News Headline 113,This is the body of a fake news article number 113. It contains information that is not verified.,FAKE
114,FAKE News Headline 114,This is the body of a fake news article number 114. It contains information that is not verified.,FAKE
115,FAKE News Headline 115,This is the body of a fake news article number 115. It contains information that is not verified.,FAKE
116,FAKE News Headline 116,This is the body of a fake news article number 116. It contains information that is not verified.,FAKE
117,FAKE News Headline 117,This is the body of a fake news article number 117. It contains information that is not verified.,FAKE
118,FAKE News Headline 118,This is the body of a fake news article number 118. It contains information that is not verified.,FAKE
119,FAKE News Headline 119,This is the body of a fake news article number 119. It contains information that is not verified.,FAKE
120,FAKE News Headline 120,This is the body of a fake news article number 120. It contains information that is not verified.,FAKE
121,FAKE News Headline 121,This is the body of a fake news article number 121. It contains information that is not verified.,FAKE
122,FAKE News Headline 122,This is the body of a fake news article number 122. It contains information that is not verified.,FAKE
123,FAKE News Headline 123,This is the body of a fake news article number 123. It contains information that is not verified.,FAKE
124,FAKE News Headline 124,This is the body of a fake news article number 124. It contains information that is not verified.,FAKE
125,FAKE News Headline 125,This is the body of a fake news article number 125. It contains information that is not verified.,FAKE
126,FAKE News Headline 126,This is the body of a fake news article number 126. It contains information that is not verified.,FAKE
127,FAKE News Headline 127,This is the body of a fake news article number 127. It contains information that is not verified.,FAKE
128,FAKE News Headline 128,This is the body of a fake news article number 128. It contains information that is not verified.,FAKE
129,FAKE News Headline 129,This is the body of a fake news article number 129. It contains information that is not verified.,FAKE
130,FAKE News Headline 130,This is the body of a fake news article number 130. It contains information that is not verified.,FAKE
131,FAKE News Headline 131,This is the body of a fake news article number 131. It contains information that is not verified.,FAKE
132,FAKE News Headline 132,This is the body of a fake news article number 132. It contains information that is not verified.,FAKE
133,FAKE News Headline 133,This is the body of a fake news article number 133. It contains information that is not verified.,FAKE
134,FAKE News Headline 134,This is the body of a fake news article number 134. It contains information that is not verified.,FAKE
135,FAKE News Headline 135,This is the body of a fake news article number 135. It contains information that is not verified.,FAKE
136,FAKE News Headline 136,This is the body of a fake news article number 136. It contains information that is not verified.,FAKE
137,FAKE News Headline 137,This is the body of a fake news article number 137. It contains information that is not verified.,FAKE
138,FAKE News Headline 138,This is the body of a fake news article number 138. It contains information that is not verified.,FAKE
139,FAKE News Headline 139,This is the body of a fake news article number 139. It contains information that is not verified.,FAKE
140,FAKE News Headline 140,This is the body of a fake news article number 140. It contains information that is not verified.,FAKE
141,FAKE News Headline 141,This is the body of a fake news article number 141. It contains information that is not verified.,FAKE
142,FAKE News Headline 142,This is the body of a fake news article number 142. It contains information that is not verified.,FAKE
143,FAKE News Headline 143,This is the body of a fake news article number 143. It contains information that is not verified.,FAKE
144,FAKE News Headline 144,This is the body of a fake news article number 144. It contains information that is not verified.,FAKE
145,FAKE News Headline 145,This is the body of a fake news article number 145. It contains information that is not verified.,FAKE
146,FAKE News Headline 146,This is the body of a fake news article number 146. It contains information that is not verified.,FAKE
147,FAKE News Headline 147,This is the body of a fake news article number 147. It contains information that is not verified.,FAKE
148,FAKE News Headline 148,This is the body of a fake news article number 148. It contains information that is not verified.,FAKE
149,FAKE News Headline 149,This is the body of a fake news article number 149. It contains information that is not verified.,FAKE
150,FAKE News Headline 150,This is the body of a fake news article number 150. It contains information that is not verified.,FAKE
151,FAKE News Headline 151,This is the body of a fake news article number 151. It contains information that is not verified.,FAKE
152,FAKE News Headline 152,This is the body of a fake news article number 152. It contains information that is not verified.,FAKE
153,FAKE News Headline 153,This is the body of a fake news article number 153. It contains information that is not verified.,FAKE
154,FAKE News Headline 154,This is the body of a fake news article number 154. It contains information that is not verified.,FAKE
155,FAKE News Headline 155,This is the body of a fake news article number 155. It contains information that is not verified.,FAKE
156,FAKE News Headline 156,This is the body of a fake news article number 156. It contains information that is not verified.,FAKE
157,FAKE News Headline 157,This is the body of a fake news article number 157. It contains information that is not verified.,FAKE
158,FAKE News Headline 158,This is the body of a fake news article number 158. It contains information that is not verified.,FAKE
159,FAKE News Headline 159,This is the body of a fake news article number 159. It contains information that is not verified.,FAKE
160,FAKE News Headline 160,This is the body of a fake news article number 160. It contains information that is not verified.,FAKE
161,FAKE News Headline 161,This is the body of a fake news article number 161. It contains information that is not verified.,FAKE
162,FAKE News Headline 162,This is the body of a fake news article number 162. It contains information that is not verified.,FAKE
163,FAKE News Headline 163,This is the body of a fake news article number 163. It contains information that is not verified.,FAKE
164,FAKE News Headline 164,This is the body of a fake news article number 164. It contains information that is not verified.,FAKE
165,FAKE News Headline 165,This is the body of a fake news article number 165. It contains information that is not verified.,FAKE
166,FAKE News Headline 166,This is the body of a fake news article number 166. It contains information that is not verified.,FAKE
167,FAKE News Headline 167,This is the body of a fake news article number 167. It contains information that is not verified.,FAKE
168,FAKE News Headline 168,This is the body of a fake news article number 168. It contains information that is not verified.,FAKE
169,FAKE News Headline 169,This is the body of a fake news article number 169. It contains information that is not verified.,FAKE
170,FAKE News Headline 170,This is the body of a fake news article number 170. It contains information that is not verified.,FAKE
171,FAKE News Headline 171,This is the body of a fake news article number 171. It contains information that is not verified.,FAKE
172,FAKE News Headline 172,This is the body of a fake news article number 172. It contains information that is not verified.,FAKE
173,FAKE News Headline 173,This is the body of a fake news article number 173. It contains information that is not verified.,FAKE
174,FAKE News Headline 174,This is the body of a fake news article number 174. It contains information that is not verified.,FAKE
175,FAKE News Headline 175,This is the body of a fake news article number 175. It contains information that is not verified.,FAKE
176,FAKE News Headline 176,This is the body of a fake news article number 176. It contains information that is not verified.,FAKE
177,FAKE News Headline 177,This is the body of a fake news article number 177. It contains information that is not verified.,FAKE
178,FAKE News Headline 178,This is the body of a fake news article number 178. It contains information that is not verified.,FAKE
179,FAKE News Headline 179,This is the body of a fake news article number 179. It contains information that is not verified.,FAKE
180,FAKE News Headline 180,This is the body of a fake news article number 180. It contains information that is not verified.,FAKE
181,FAKE News Headline 181,This is the body of a fake news article number 181. It contains information that is not verified.,FAKE
182,FAKE News Headline 182,This is the body of a fake news article number 182. It contains information that is not verified.,FAKE
183,FAKE News Headline 183,This is the body of a fake news article number 183. It contains information that is not verified.,FAKE
184,FAKE News Headline 184,This is the body of a fake news article number 184. It contains information that is not verified.,FAKE
185,FAKE News Headline 185,This is the body of a fake news article number 185. It contains information that is not verified.,FAKE
186,FAKE News Headline 186,This is the body of a fake news article number 186. It contains information that is not verified.,FAKE
187,FAKE News Headline 187,This is the body of a fake news article number 187. It contains information that is not verified.,FAKE
188,FAKE News Headline 188,This is the body of a fake news article number 188. It contains information that is not verified.,FAKE
189,FAKE News Headline 189,This is the body of a fake news article number 189. It contains information that is not verified.,FAKE
190,FAKE News Headline 190,This is the body of a fake news article number 190. It contains information that is not verified.,FAKE
191,FAKE News Headline 191,This is the body of a fake news article number 191. It contains information that is not verified.,FAKE
192,FAKE News Headline 192,This is the body of a fake news article number 192. It contains information that is not verified.,FAKE
193,FAKE News Headline 193,This is the body of a fake news article number 193. It contains information that is not verified.,FAKE
194,FAKE News Headline 194,This is the body of a fake news article number 194. It contains information that is not verified.,FAKE
195,FAKE News Headline 195,This is the body of a fake news article number 195. It contains information that is not verified.,FAKE
196,FAKE News Headline 196,This is the body of a fake news article number 196. It contains information that is not verified.,FAKE
197,FAKE News Headline 197,This is the body of a fake news article number 197. It contains information that is not verified.,FAKE
198,FAKE News Headline 198,This is the body of a fake news article number 198. It contains information that is not verified.,FAKE
199,FAKE News Headline 199,This is the body of a fake news article number 199. It contains information that is not verified.,FAKE
200,FAKE News Headline 200,This is the body of a fake news article number 200. It contains information that is not verified.,FAKE
